time,t,data/C391_2.csv
2009 Jan,2009-01-31,0
2009 Feb,2009-02-28,0
2009 Mar,2009-03-31,0
2009 Apr,2009-04-30,0
2009 May,2009-05-31,0
2009 Jun,2009-06-30,0
2009 Jul,2009-07-31,0
2009 Aug,2009-08-31,0.06104129263913821
2009 Sep,2009-09-30,0.10682226211849183
2009 Oct,2009-10-31,0.39048473967684016
2009 Nov,2009-11-30,0.4631956912028725
2009 Dec,2009-12-31,0.24865350089766602
2010 Jan,2010-01-31,0.0601436265709156
2010 Feb,2010-02-28,0.014362657091561926
2010 Mar,2010-03-31,0
2010 Apr,2010-04-30,0
2010 May,2010-05-31,0
2010 Jun,2010-06-30,0
2010 Jul,2010-07-31,0
2010 Aug,2010-08-31,0
2010 Sep,2010-09-30,0.008976660682226134
2010 Oct,2010-10-31,0
2010 Nov,2010-11-30,0
2010 Dec,2010-12-31,0
2011 Jan,2011-01-31,0.05116696588868935
2011 Feb,2011-02-28,0.09605026929982041
2011 Mar,2011-03-31,0.0385996409335726
2011 Apr,2011-04-30,0
2011 May,2011-05-31,0
2011 Jun,2011-06-30,0
2011 Jul,2011-07-31,0
2011 Aug,2011-08-31,0
2011 Sep,2011-09-30,0
2011 Oct,2011-10-31,0
2011 Nov,2011-11-30,0
2011 Dec,2011-12-31,0
2012 Jan,2012-01-31,0
2012 Feb,2012-02-29,0
2012 Mar,2012-03-31,0.007181328545780907
2012 Apr,2012-04-30,0.0673249551166965
2012 May,2012-05-31,0.03321364452423692
2012 Jun,2012-06-30,0.013464991023339312
2012 Jul,2012-07-31,0
2012 Aug,2012-08-31,0
2012 Sep,2012-09-30,0
2012 Oct,2012-10-31,0
2012 Nov,2012-11-30,0.021543985637342833
2012 Dec,2012-12-20,0.14991023339317766
